StationID,Station
0000002,Bucuresti
0000003,Calais
0000004,Canterbury
0000005,Exeter
0000007,"Fideris, Bahnhof"
0000008,Frankfurt Flughafen
0000009,Gdansk
0000011,Grenchen
0000013,Istanbul
0000017,Amstetten (Württ)
0000019,Avignon
0000021,Barcelona
0000022,Basel
0000024,Bern Bümpliz
0000027,Birmingham
0000028,Boudry TN
0000029,Bratislava
0000031,Bruxelles
0000034,Liverpool
0000035,Lothenbach
0000036,Lothenbach (See)
0000039,Moskau
0000043,Poznan
0000047,Lyon
0000048,Madrid
0000049,Madrid-Puerto de Atocha
0000051,Manchester
0000053,Marne-la-Vallée-Chessy
0000058,St. Petersburg
0000059,Tägerwilen
0000060,Val-Thoiry
0000061,Valence
0000062,Valencia
0000065,"Wallisellen, Glatt"
0000066,"Wallisellen, Zentrum Glatt"
0000067,Obersdorf NOE
0000085,Schönbühl
0000088,Blatten LBB
0000096,Langnau
0000098,Wien Stephansplatz
0000099,Wien Schwedenplatz
0000102,Wien Handelskai
0000103,Wien Schottenring
0000105,Heathrow Airport
0000107,Wien Burggasse-Stadthalle
0000108,Biberist
0000110,Highbury and Islington
0000112,"Bad Säckingen, Friedrichstrasse"
0000114,Karlsruhe Tullastr./VKB
0000115,"Bad Säckingen, Jurastrasse"
0000116,"Freiburg (D), Hauptbahnhof/ZOB"
0000117,"Berghausen, Kirche"
0000119,Helgoland
0000121,Helsinki Airport
0000122,Den Haag
0000123,Figueres
0000124,Freienbach
0000126,Ostrava
0000128,Aix-en-Provence
0000129,"Boudry, station TN"
0000130,Lille
0000132,Bahn-2000-Strecke$Bahn-2000-Strecke$<2>
0000133,Centovalli
0000134,Furka
0000135,Lötschberg-Basistunnel$Lötschberg-Basistunnel$<2>
0000136,Lötschberg-Bergstrecke$Lötschberg-Bergstrecke$<2>
0000137,Rotsee
0000138,Vereina
0000139,Damm
0000140,Gotthard-Panoramastrecke$Gotthard-Panoramastrecke$<2>
0000141,Oberalp
0000142,Simplon
0000143,Autobahn
0000164,Innsbruck Stubaitalbf Betrieb.
0000165,Innsbruck Stubaitalbf Pastor
0000174,Gotthard-Basistunnel$Gotthard-Basistunnel$<2>
0000175,Hauenstein-Basistunnel$Hauenstein-Basistunnel$<2>
0000176,Zimmerberg-Basistunnel$Zimmerberg-Basistunnel$<2>
0000177,Belfaux
0000178,Fribourg
0000179,Mürren
0000180,Hinterkappelen
0000181,Albulatunnel
0000184,Dublin
0000185,Budapest
0000186,Lodz
0000187,Praha
0000188,"Preglia, Via Sempione"
0000189,Szczecin
0000190,"Varzo, Stazione"
0000191,"Gravellona Toce, stazione"
0000192,"Omegna, staz. ferroviaria"
0000193,"Ornavasso, staz. ferroviaria"
0000194,"Piedimulera, staz. ferroviaria"
0000195,"Vogogna, staz. ferroviaria"
0000196,Lisboa
0000197,London
0000198,Paris
1100001,"Cannero, staz. Bus"
1100002,"Cannobio, staz. Bus"
1100005,"Pallanza, staz. Bus"
1100006,"Zell (Wiesental), Bahnhof"
1100042,"Feldberg-Bärental, Bahnhof"
